"ORSEE_code","trial_id","subject_nr","subject_parity","age","gender","GEB.est","svs_biospheric","svs_altruistic","svs_egoistic","svs_hedonic","EU_ETS","vege_Q1","vege_Q2","vege_Q3","offer_resp_time","trial_order","carbon","money","proenv_decision","decision_diff_resp","DT_Carbon","DT_Money","DT_Total","Rel_DT_Carbon","first_fix_Carbon","last_fix_Carbon","FixCount_Carbon","FixCount_Money","FixCount_Total","Rel_FixCount_Carbon","FixDuration_Carbon","FixDuration_Money","Rel_FixDuration_Carbon","MeanFixDuration","nb_transition"
7809,36,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,745,34,110,20,1,1,133.004,168,301,0.44,1,0,1,1,2,0.5,133.004,168,0.44,150.502,1
7809,4,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,4307,23,20,17,0,3,1631.999,1546.009,3178.01,0.51,1,0,6,4,10,0.6,271.999833333333,386.50225,0.41,317.8008,5
7809,5,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1638,29,35,11,1,1,499.993,566.003,1066,0.47,1,1,2,2,4,0.5,249.9965,283.0015,0.47,266.499,2
7809,6,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,1355,35,35,14,1,1,315.007,748.992,1064,0.3,1,0,2,1,3,0.67,157.5035,748.992,0.17,354.666333333333,1
7809,7,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,3613,11,35,17,0,2,1514.008,1149.99,2664,0.57,1,0,8,4,12,0.67,189.251,287.4975,0.4,221.999833333333,5
7809,8,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,6564,1,35,20,0,2,3142.027,1733.004,4875.03,0.64,0,1,14,6,20,0.7,224.4305,288.833999999999,0.44,243.75155,7
7809,9,11,"odd",20,"F",0.933,7,7,3.8,7,4,NA,NA,NA,5360,18,50,14,1,1,1681.009,1779.994,3461,0.49,1,0,7,7,14,0.5,240.144142857143,254.284857142857,0.49,247.2145,7
7828,1,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2475,12,20,8,0,3,846.989,863.988,1710.98,0.5,0,0,2,4,6,0.33,423.4945,215.997,0.66,285.162833333333,2
7828,10,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1293,22,50,17,0,1,249.997,548.006,798,0.31,0,0,1,2,3,0.33,249.997,274.003,0.48,266.001,2
7828,11,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2093,32,50,20,0,1,565.006,716.005,1281.01,0.44,0,1,2,3,5,0.4,282.503,238.668333333333,0.54,256.2022,3
7828,12,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1444,15,50,23,0,1,348.992,597.003,945.99,0.37,0,0,1,4,5,0.2,348.992,149.25075,0.7,189.199,2
